piece_id,lambda,tonal_center,+P5,-P5,+M3,-M3,+m3,-m3,converged
lmd_6452,0.9816562343269895,8,0.08242070537494285,0.022269624563127078,0.7216467159813785,0.01134409409496076,0.037449577471366575,0.12486928251422438,True
lmd_55981,0.982716659400651,9,0.05507165686574955,0.04364586319316814,0.61023530706487,0.09174417487768266,0.014165826001033222,0.18513717199749663,True
lmd_85394,0.9911002549335907,3,0.08625885897442506,0.005618512765042161,0.7802516838147457,1.833475006839538e-09,5.053992926862188e-08,0.12787089207238275,True
lmd_91735,0.9908101919642576,0,0.08007731224161818,1.28859639349514e-09,0.7356633464963995,1.1596566774717322e-15,5.0703054505843875e-15,0.18425933997337976,True
lmd_64203,0.9908840142904745,6,0.02915397569420131,0.05655333181921612,0.6087999382019158,5.758857005793863e-10,3.4674652556020465e-26,0.30549275370878115,True
lmd_114230,0.9831044554129672,4,0.02600665279926858,0.02962351019314281,0.7110518295364886,3.1060049288372195e-08,0.0009939634103367401,0.23232401300071395,True
lmd_56719,0.9759839804411641,0,0.08020849014615371,7.315680881995541e-08,0.7831658487061568,8.568086225234152e-11,1.2314958503297014e-11,0.1366255878928849,True
lmd_65655,0.9849303493941881,0,0.04708556771345447,3.395497306493171e-08,0.7560955866001154,1.6341416252793535e-11,8.85697353537042e-10,0.19681881082941832,True
lmd_93438,0.9896249040714706,2,0.025219745654129457,0.032003116409935986,0.7201678333954322,1.2462906428378511e-08,3.75374450235274e-10,0.22260929170222143,True
lmd_9016,0.9915685198437235,4,0.010850222058586347,0.06257227752750019,0.644138578746393,3.236880107183694e-08,0.0054359602487205816,0.27700292904999874,True
lmd_39584,0.9924230892602813,1,0.030387961796556725,0.021127680185060733,0.7017329925851952,1.4745697808544906e-08,2.4496113280362052e-08,0.2467513261913763,True
lmd_63682,0.9879359385100813,0,0.08827707726489048,5.1534407324498664e-08,0.7621692917976239,7.352811764468873e-13,4.472758037807529e-09,0.14955357492958482,True
lmd_53337,0.9810554156868682,4,0.030311066134184484,0.010663132203864124,0.7250561288470986,0.0022448225592156096,0.02610104445230723,0.20562380580333003,True
lmd_101308,0.9810600932570577,0,0.00914331503245897,0.00786090354631794,0.6891901356919831,3.1836539967966056e-08,1.1450417104920855e-08,0.293805602442283,True
lmd_107520,0.9888078570987783,4,0.0217073030964285,0.03159517224988909,0.6758790472984021,0.010609103429064855,0.013602228356655121,0.24660714556956037,True
lmd_95675,0.9669926751785701,9,0.050301652389743136,0.033810802763583954,0.674875917359341,0.08471254564083601,0.004691771697002413,0.15160731014949344,True
lmd_57040,0.9890186836343186,6,7.1589019315981e-08,0.04489586124299936,0.6169990502072442,0.03166976874680907,0.006176960995737962,0.30025828721819003,True
lmd_26908,0.9877633057717411,3,0.05745099020221683,0.007281339665191143,0.7532519644444197,2.897649061132266e-08,0.026561952907136015,0.15545372380454575,True
lmd_25063,0.9906687658571413,1,0.018669746784345416,0.014941951434426929,0.70775921895346,4.831595563043608e-09,3.1449415969821864e-09,0.2586290748512305,True
lmd_80341,0.9853975944494131,0,0.07216222500248241,1.553001222155496e-08,0.7712725246978633,7.007565185111832e-09,5.801822157500144e-09,0.15656522196025474,True
lmd_82935,0.9837867512928052,2,0.03603165284420666,0.012410312432455873,0.7684765008476204,4.094957922521613e-09,3.509018978145766e-08,0.18308149469056934,True
lmd_110927,0.9896683040896512,6,0.014607097195862477,0.0510050925437869,0.6268442283743997,0.01970801473224194,0.009648048867016937,0.2781875182866921,True
lmd_82441,0.9786539251521009,5,0.06350307415820727,0.0031346602176345,0.7223023867407021,7.731509540089101e-08,0.01709394028287575,0.19396586128548493,True
lmd_101899,0.9898642065606429,2,0.06633240741528704,0.04506684189558856,0.7817167089346384,5.321644765144987e-11,1.0595109781594963e-07,0.10688393575017158,True
lmd_65875,0.9885585478731211,6,0.037436409865528694,0.02521837327647891,0.6631133804523712,3.171104814363154e-09,1.1607954456974827e-12,0.27423183323335554,True
lmd_92247,0.9889580834567477,5,0.026140150148346957,0.053290592250673105,0.653789005041933,1.7656724272268734e-08,9.132866498039072e-08,0.26678014357365754,True
lmd_41346,0.9828085592643961,3,0.014188249658819688,0.017059233430493082,0.738848142784302,3.342953113829012e-08,0.007607775539346969,0.22229656515750706,True
lmd_27278,0.9842167560943441,10,0.026925570512041423,0.10441569745117546,0.531835200357059,0.07546495058752584,0.03232440516720901,0.22903417592498926,True
lmd_93248,0.978301806821487,0,0.10190558349595456,1.0190068890742461e-11,0.7581002018523538,3.5315426289470648e-09,4.41767078093408e-09,0.13999420669228818,True
lmd_43598,0.9868519850049875,9,0.08724949801449514,0.029779938638426044,0.6148588117303802,0.07573504745306055,0.03798510379010144,0.15439160037353672,True
lmd_42968,0.9925118755122496,5,0.017139876788085685,0.06430482016472577,0.6378250111214749,2.4317318331125118e-08,5.422560608962252e-09,0.2807302621858347,True
lmd_95753,0.9911923113363184,1,0.023939644359942534,0.02553876257066185,0.6672285008539127,9.6159234558641e-08,4.243885801854743e-14,0.28329299605620595,True
lmd_113910,0.9863311129746987,11,0.07403880073635834,0.021340550728159654,0.48215194172235576,0.08752078908689266,0.14419095783280378,0.1907569598934298,True
lmd_44702,0.9882332966679256,0,0.06231495159422562,2.387461424469933e-08,0.7478972751728385,8.899915689596218e-10,1.4701430637952732e-09,0.18978774699818707,True
lmd_56495,0.9854758992251601,1,0.10944805870226805,0.005429756807616297,0.7739536374957189,2.042520344931809e-09,1.7796804187950084e-08,0.11116852715507229,True
lmd_76327,0.9885425182025374,3,0.05448229237283362,0.014257340204081032,0.756147632196344,1.6855023042215796e-08,0.01333406756576977,0.16177865080594853,True
lmd_106633,0.9880072378525885,4,0.012958156118497221,0.034650783408453276,0.675749881357639,0.008022048602400585,0.004183399413837641,0.2644357310991722,True
lmd_60390,0.9898487814485348,1,0.045331264697215747,0.02276022437038653,0.7162205170905254,1.3116624469607504e-09,1.3316744642617706e-08,0.2156879792134652,True
lmd_49,0.9926220901172512,2,0.044091649487433944,0.017464348120752888,0.746061202512266,3.0541660521544074e-08,3.8888282278936825e-09,0.19238276544905833,True
lmd_111931,0.9916281835317647,4,0.08548713169203588,0.008999670565271118,0.7194477993554521,0.006406075862641853,0.023679036841464066,0.15598028568313507,True
lmd_48587,0.9866657781921369,3,0.04915818902581366,0.010327315713334385,0.7746851248699999,1.537833098163277e-08,0.0003764981279156472,0.16545285688460543,True
lmd_50766,0.9903493529455246,4,0.016305139154666234,0.047177506080185824,0.6713569196025682,0.0001038532169209573,0.0001607104731327301,0.2648958714725261,True
lmd_63130,0.961917834059765,4,4.576351864393161e-09,2.147034463989087e-08,0.7412428055713932,0.004371781208881577,2.5662572357428756e-09,0.25438538460677146,True
lmd_2833,0.9811307630869207,11,0.016649821842106782,0.07844674709693081,0.4582817749788157,0.1306671710028529,0.05197108743977021,0.2639833976395236,True
lmd_24090,0.9922197013989192,6,0.06350289883431927,0.018304373387889525,0.6850722978251019,0.013433942845025275,0.030617234118965685,0.18906925298869842,True
lmd_62773,0.9907272726690858,1,0.011311986282690924,0.031839384579426776,0.6707173770174655,5.421831698760991e-09,5.179348482110495e-09,0.2861312415192366,True
lmd_70088,0.976751293400452,0,0.05646590691451629,6.182282349775431e-08,0.7649186247331882,3.508120425168366e-12,1.4857108384298604e-15,0.1786154065259623,True
lmd_102677,0.9872861672113317,1,0.04559580627054697,0.012727122323509556,0.7318691886200513,6.1217106637243604e-09,1.7438460281121598e-08,0.20980785922572115,True
lmd_84935,0.9807259394679713,5,0.01717948464579432,0.007331227886845925,0.6806047142839462,0.007982171613070856,0.029455767116333804,0.25744663445400895,True
lmd_36793,0.9904088364392195,4,0.012807396457999567,0.05120596238348854,0.664854546874794,1.6802977955072246e-12,3.4900259899610464e-10,0.27113209393303506,True
